Sport,Franchise ID,City of Team,Team Name,Season Win Loss Record,Season Win Percentage,Season Payroll,Season,Season Start Month & Year,Season End Month & Year,"Playoff Round elminated (0 = missed playoffs, 5 = Won Championship)",,,,,,,,,,,,,,,,,,,
Hockey,14,Pittsburgh,Penguins,46-25-11,0.628,83951743,2021-2022,2021-10-12,2022-04-29,1,,,,,,,,,,,,,,,,,,,
Hockey,15,Detroit,Red Wings,32-40-10,0.451,69557687,2021-2022,2021-10-12,2022-04-29,0,,,,,,,,,,,,,,,,,,,
Hockey,16,St. Louis,Blues,49-22-11,0.665,81790162,2021-2022,2021-10-12,2022-04-29,2,,,,,,,,,,,,,,,,,,,
Hockey,17,Washington,Capitals,44-26-12,0.61,85880933,2021-2022,2021-10-12,2022-04-29,1,,,,,,,,,,,,,,,,,,,
Hockey,18,Florida,Panthers,58-18-6,0.744,85763824,2021-2022,2021-10-12,2022-04-29,2,,,,,,,,,,,,,,,,,,,
Hockey,19,Toronto,Maple Leafs,54-21-7,0.701,90013798,2021-2022,2021-10-12,2022-04-29,1,,,,,,,,,,,,,,,,,,,
Hockey,20,New Jersey,Devils,27-46-9,0.384,73577425,2021-2022,2021-10-12,2022-04-29,0,,,,,,,,,,,,,,,,,,,
Hockey,21,Los Angeles,Kings,44-27-11,0.604,84242143,2021-2022,2021-10-12,2022-04-29,1,,,,,,,,,,,,,,,,,,,
Hockey,22,New York,Islanders,37-35-10,0.512,79269354,2021-2022,2021-10-12,2022-04-29,0,,,,,,,,,,,,,,,,,,,
Hockey,23,Colorado,Avalanche,56-19-7,0.726,83501771,2021-2022,2021-10-12,2022-04-29,5,,,,,,,,,,,,,,,,,,,
Hockey,24,Edmonton,Oilers,49-27-6,0.634,88251373,2021-2022,2021-10-12,2022-04-29,3,,,,,,,,,,,,,,,,,,,
Hockey,25,Carolina,Hurricanes,54-20-8,0.707,87484917,2021-2022,2021-10-12,2022-04-29,2,,,,,,,,,,,,,,,,,,,
Hockey,26,Dallas,Stars,46-30-6,0.598,85912802,2021-2022,2021-10-12,2022-04-29,1,,,,,,,,,,,,,,,,,,,
Hockey,27,Ottawa,Senators,33-42-7,0.445,71644834,2021-2022,2021-10-12,2022-04-29,0,,,,,,,,,,,,,,,,,,,
Hockey,28,Minnesota,Wild,53-22-7,0.689,83330618,2021-2022,2021-10-12,2022-04-29,1,,,,,,,,,,,,,,,,,,,
Hockey,29,Vegas,Golden Knights,43-31-8,0.573,91988359,2021-2022,2021-10-12,2022-04-29,0,,,,,,,,,,,,,,,,,,,
Hockey,30,Montreal,Canadiens,22-49-11,0.335,85674744,2021-2022,2021-10-12,2022-04-29,0,,,,,,,,,,,,,,,,,,,
Hockey,31,Tampa Bay,Lightning,51-23-8,0.671,90005525,2021-2022,2021-10-12,2022-04-29,4,,,,,,,,,,,,,,,,,,,
Hockey,32,Winnipeg,Jets,39-32-11,0.543,80683023,2021-2022,2021-10-12,2022-04-29,0,,,,,,,,,,,,,,,,,,,
Hockey,1,San Jose,Sharks,21-28-7,0.438,79896022,2020-2021,2021-01-13,2021-05-19,0,,,,,,,,,,,,,,,,,,,
Hockey,2,Calgary,Flames,26-27-3,0.491,77897228,2020-2021,2021-01-13,2021-05-19,0,,,,,,,,,,,,,,,,,,,
Hockey,3,Columbus,Blue Jackets,18-26-12,0.429,73835118,2020-2021,2021-01-13,2021-05-19,0,,,,,,,,,,,,,,,,,,,
Hockey,4,Utah,Coyotes,24-26-6,0.482,79757378,2020-2021,2021-01-13,2021-05-19,0,,,,,,,,,,,,,,,,,,,
